127.0.0.1 - - [25/Sep/2024:10:51:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/ HTTP/1.1" 200 8662
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/aos/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/purecounter/purecounter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/css/style.css HTTP/1.1" 200 40776
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/img/hero-img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/aos/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/img/about.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/img/hero-bg.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?a74547b2f0863226942ff8ded57db345 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:20 +0530] "GET /SMEVCSnew/assets/img/apple-touch-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:30 +0530] "GET /SMEVCSnew/AdminLogin.jsp HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [25/Sep/2024:10:51:43 +0530] "GET /SMEVCSnew/index.jsp HTTP/1.1" 200 8662
