127.0.0.1 - - [05/Sep/2024:12:11:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:11:13 +0530] "GET /SMEVCS/ HTTP/1.1" 200 8659
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:11:13 +0530] "GET /SMEVCS/assets/img/hero-bg.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:13:03 +0530] "GET /SMEVCS/AdminLogin.jsp HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:13:12 +0530] "POST /SMEVCS/AdminLoginController HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:13:13 +0530] "GET /SMEVCS/AdminHome.jsp HTTP/1.1" 200 4687
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:13:17 +0530] "GET /SMEVCS/ViewSlots.jsp HTTP/1.1" 200 12474
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:13:17 +0530] "GET /SMEVCS/ViewSlots.jsp HTTP/1.1" 200 12474
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:13:23 +0530] "GET /SMEVCS/LogoutController HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:13:25 +0530] "GET /SMEVCS/index.jsp HTTP/1.1" 200 8659
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:13:26 +0530] "GET /SMEVCS/UserLogin.jsp HTTP/1.1" 200 5560
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:13:36 +0530] "POST /SMEVCS/UserLoginController HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:13:37 +0530] "GET /SMEVCS/UserHome.jsp HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:13:39 +0530] "GET /SMEVCS/Search.jsp HTTP/1.1" 200 4947
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:13:48 +0530] "POST /SMEVCS/SearchSlot.jsp HTTP/1.1" 200 13053
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:16:19 +0530] "GET /SMEVCS/UserHome.jsp HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:16:19 +0530] "GET /SMEVCS/assets/img/hero-bg.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:19:32 +0530] "GET /SMEVCS/UserHome.jsp HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:19:37 +0530] "GET /SMEVCS/UserHome.jsp HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:19:43 +0530] "GET /SMEVCS/UserHome.jsp HTTP/1.1" 200 4985
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:19:43 +0530] "GET /SMEVCS/assets/img/hero-bg.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:20:41 +0530] "GET /SMEVCS/UserHome.jsp HTTP/1.1" 200 5708
0:0:0:0:0:0:0:1 - - [05/Sep/2024:12:20:41 +0530] "GET /SMEVCS/assets/img/hero-bg.jpg HTTP/1.1" 404 792
