127.0.0.1 - - [27/Sep/2024:11:01:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Sep/2024:11:01:46 +0530] "GET /SMEVCSnew/ HTTP/1.1" 200 8662
0:0:0:0:0:0:0:1 - - [27/Sep/2024:11:01:46 +0530] "GET /SMEVCSnew/assets/vendor/aos/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:11:01:46 +0530] "GET /SMEVCSnew/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:11:01:46 +0530] "GET /SMEVCSnew/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:11:01:46 +0530] "GET /SMEVCSnew/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:11:01:46 +0530] "GET /SMEVCSnew/assets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:11:01:46 +0530] "GET /SMEVCSnew/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:11:01:46 +0530] "GET /SMEVCSnew/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:11:01:46 +0530] "GET /SMEVCSnew/assets/vendor/purecounter/purecounter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:11:01:46 +0530] "GET /SMEVCSnew/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:11:01:46 +0530] "GET /SMEVCSnew/assets/img/hero-img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:11:01:46 +0530] "GET /SMEVCSnew/assets/vendor/aos/aos.js HTTP/1.1" 304 -
