0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:17:30 +0530] "POST /SMEVCSnew/AdminLoginController HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:17:31 +0530] "GET /SMEVCSnew/AdminHome.jsp HTTP/1.1" 200 4687
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:17:31 +0530] "GET /SMEVCSnew/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:17:33 +0530] "GET /SMEVCSnew/ManageSlots.jsp HTTP/1.1" 200 6354
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:17:40 +0530] "GET /SMEVCSnew/AdminHome.jsp HTTP/1.1" 200 4687
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:17:48 +0530] "GET /SMEVCSnew/ManageSlots.jsp HTTP/1.1" 200 6354
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:17:48 +0530] "GET /SMEVCSnew/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:17:51 +0530] "GET /SMEVCSnew/ManageSlots.jsp HTTP/1.1" 200 6354
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:17:54 +0530] "GET /SMEVCSnew/AdminHome.jsp HTTP/1.1" 200 4687
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:17:59 +0530] "GET /SMEVCSnew/PaymentHistory.jsp HTTP/1.1" 200 5842
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:17:59 +0530] "GET /SMEVCSnew/PaymentHistory.jsp HTTP/1.1" 200 5842
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:18:02 +0530] "GET /SMEVCSnew/ViewSlots.jsp HTTP/1.1" 200 12474
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:18:06 +0530] "GET /SMEVCSnew/BookingHistory.jsp HTTP/1.1" 200 7766
0:0:0:0:0:0:0:1 - - [18/Sep/2024:10:18:06 +0530] "GET /SMEVCSnew/assets/css/style.css HTTP/1.1" 304 -
